iter	Passed	Remaining
878	14618	2012
879	14628	1994
880	14640	1977
881	14650	1960
882	14662	1942
883	14671	1925
884	14684	1908
885	14694	1890
886	14705	1873
887	14715	1856
888	14725	1838
889	14735	1821
890	14746	1803
891	14755	1786
892	14763	1768
893	14770	1751
894	14780	1734
895	14791	1716
896	14801	1699
897	14811	1682
898	14820	1665
899	14828	1647
900	14838	1630
901	14848	1613
902	14859	1596
903	14870	1579
904	14883	1562
905	14894	1545
906	14905	1528
907	14916	1511
908	14929	1494
909	14937	1477
910	14945	1460
911	14954	1443
912	14963	1425
913	14974	1408
914	14986	1392
915	14995	1375
916	15004	1358
917	15014	1341
918	15023	1324
919	15032	1307
920	15041	1290
921	15050	1273
922	15059	1256
923	15069	1239
924	15078	1222
925	15086	1205
926	15095	1188
927	15104	1171
928	15112	1154
929	15119	1138
930	15126	1121
931	15135	1104
932	15143	1087
933	15151	1070
934	15160	1053
935	15167	1037
936	15175	1020
937	15183	1003
938	15190	986
939	15199	970
940	15206	953
941	15214	936
942	15222	920
943	15232	903
944	15241	887
945	15250	870
946	15258	853
947	15266	837
948	15275	820
949	15283	804
950	15292	787
951	15300	771
952	15308	754
953	15315	738
954	15324	722
955	15334	705
956	15344	689
957	15355	673
958	15363	656
959	15372	640
960	15379	624
961	15389	607
962	15398	591
963	15407	575
964	15417	559
965	15428	543
966	15439	526
967	15447	510
968	15456	494
969	15464	478
970	15472	462
971	15481	445
972	15489	429
973	15497	413
974	15505	397
975	15514	381
976	15525	365
977	15534	349
978	15541	333
979	15549	317
980	15557	301
981	15564	285
982	15572	269
983	15580	253
984	15591	237
985	15601	221
986	15612	205
987	15622	189
988	15632	173
989	15640	157
990	15648	142
991	15656	126
992	15667	110
993	15676	94
994	15683	78
995	15690	63
996	15698	47
997	15707	31
998	15715	15
999	15722	0
8
978	18611	399
979	18625	380
980	18637	360
981	18649	341
982	18659	322
983	18670	303
984	18679	284
985	18689	265
986	18716	246
987	18732	227
988	18744	208
989	18758	189
990	18770	170
991	18782	151
992	18793	132
993	18803	113
994	18816	94
995	18831	75
996	18842	56
997	18851	37
998	18862	18
999	18873	0
407
988	33581	373
989	33592	339
990	33604	305
991	33615	271
992	33628	237
993	33648	203
994	33659	169
995	33674	135
996	33684	101
997	33696	67
998	33708	33
999	33718	0
